id,name,student,task,time,randomness,data
17102,edit-program,8621,19.0,2017-12-13T14:56:27.674433Z,451408899,"{'task_session_id': 1158, 'program': 'slflll'}"
17103,edit-program,8617,14.0,2017-12-13T14:56:28.109461Z,714004659,"{'task_session_id': 1161, 'program': 'frl'}"
17104,edit-program,8619,6.0,2017-12-13T14:56:29.151751Z,217177788,"{'task_session_id': 1143, 'program': 'rflslr'}"
17105,edit-program,8620,19.0,2017-12-13T14:56:29.382710Z,482448619,"{'task_session_id': 1159, 'program': 'sl'}"
17106,edit-program,8621,19.0,2017-12-13T14:56:30.205190Z,819142168,"{'task_session_id': 1158, 'program': 'slfllls'}"
17107,edit-program,8619,6.0,2017-12-13T14:56:31.111442Z,966506968,"{'task_session_id': 1143, 'program': 'rflslrss'}"
17108,edit-program,8620,19.0,2017-12-13T14:56:31.258890Z,184987769,"{'task_session_id': 1159, 'program': 's'}"
17109,run-program,8617,14.0,2017-12-13T14:56:33.216991Z,628699238,"{'task_session_id': 1161, 'program': 'frl', 'correct': True}"
17110,edit-program,8618,23.0,2017-12-13T14:56:35.522603Z,1022185358,"{'task_session_id': 1162, 'program': ''}"
17111,edit-program,8618,23.0,2017-12-13T14:56:37.659840Z,194245557,"{'task_session_id': 1162, 'program': 'l'}"
17112,edit-program,8621,19.0,2017-12-13T14:56:38.808240Z,945378056,"{'task_session_id': 1158, 'program': 'slflllsr'}"
17113,start-task,8617,10.0,2017-12-13T14:56:41.636797Z,59989408,{'task_session_id': 1163}
17114,edit-program,8621,19.0,2017-12-13T14:56:42.578333Z,99053957,"{'task_session_id': 1158, 'program': 'slflllsrf'}"
17115,edit-program,8618,23.0,2017-12-13T14:56:42.916313Z,378099698,"{'task_session_id': 1162, 'program': 'ls'}"
17116,run-program,8619,6.0,2017-12-13T14:56:43.591672Z,160973067,"{'task_session_id': 1143, 'program': 'rflslrss', 'correct': False}"
17117,edit-program,8618,23.0,2017-12-13T14:56:44.396480Z,183400847,"{'task_session_id': 1162, 'program': 'lsfffr'}"
17118,edit-program,8620,19.0,2017-12-13T14:56:46.276512Z,731140771,"{'task_session_id': 1159, 'program': 'slfl'}"
17119,edit-program,8618,23.0,2017-12-13T14:56:47.809280Z,868002402,"{'task_session_id': 1162, 'program': 'ls'}"
17120,edit-program,8617,10.0,2017-12-13T14:56:48.170353Z,467596474,"{'task_session_id': 1163, 'program': 'f'}"
17121,run-program,8621,19.0,2017-12-13T14:56:49.330741Z,390656808,"{'task_session_id': 1158, 'program': 'slflllsrf', 'correct': True}"
17122,run-program,8620,19.0,2017-12-13T14:56:50.482494Z,937940957,"{'task_session_id': 1159, 'program': 'slfl', 'correct': False}"
17123,edit-program,8619,6.0,2017-12-13T14:56:50.904554Z,310038214,"{'task_session_id': 1143, 'program': 'rflslrssf'}"
17124,edit-program,8617,10.0,2017-12-13T14:56:51.279264Z,681516471,"{'task_session_id': 1163, 'program': 'fs'}"
17125,edit-program,8617,10.0,2017-12-13T14:56:52.797053Z,1009869628,"{'task_session_id': 1163, 'program': 'fsf'}"
17126,edit-program,8618,23.0,2017-12-13T14:56:53.134213Z,821547372,"{'task_session_id': 1162, 'program': 'lsr'}"
17127,start-task,8621,23.0,2017-12-13T14:56:54.273233Z,572278203,{'task_session_id': 1164}
17128,edit-program,8618,23.0,2017-12-13T14:56:55.850605Z,635627805,"{'task_session_id': 1162, 'program': 'lsrr'}"
17129,run-program,8617,10.0,2017-12-13T14:56:56.098884Z,1012217206,"{'task_session_id': 1163, 'program': 'fsf', 'correct': True}"
17130,edit-program,8618,23.0,2017-12-13T14:56:57.515971Z,488272043,"{'task_session_id': 1162, 'program': 'lsrrf'}"
17131,run-program,8619,6.0,2017-12-13T14:56:58.651975Z,703933947,"{'task_session_id': 1143, 'program': 'rflslrssf', 'correct': True}"
17132,edit-program,8618,23.0,2017-12-13T14:57:00.335501Z,371632142,"{'task_session_id': 1162, 'program': 'lsrrfl'}"
17133,edit-program,8618,23.0,2017-12-13T14:57:02.293250Z,471730241,"{'task_session_id': 1162, 'program': 'lsrrfll'}"
17134,start-task,8617,11.0,2017-12-13T14:57:03.963362Z,838033240,{'task_session_id': 1165}
17135,edit-program,8620,19.0,2017-12-13T14:57:03.999008Z,523010561,"{'task_session_id': 1159, 'program': 'slfll'}"
17136,edit-program,8618,23.0,2017-12-13T14:57:04.073735Z,366930764,"{'task_session_id': 1162, 'program': 'lsrrfllf'}"
17137,edit-program,8621,23.0,2017-12-13T14:57:05.933794Z,903848834,"{'task_session_id': 1164, 'program': 'r'}"
17138,run-program,8618,23.0,2017-12-13T14:57:09.110269Z,1025481919,"{'task_session_id': 1162, 'program': 'lsrrfllf', 'correct': False}"
17139,edit-program,8620,19.0,2017-12-13T14:57:09.899253Z,694888218,"{'task_session_id': 1159, 'program': 'slflll'}"
17140,edit-program,8621,23.0,2017-12-13T14:57:11.379141Z,16422217,"{'task_session_id': 1164, 'program': 'rf'}"
17141,edit-program,8621,23.0,2017-12-13T14:57:12.804625Z,1061465676,"{'task_session_id': 1164, 'program': 'rff'}"
17142,edit-program,8618,23.0,2017-12-13T14:57:13.285018Z,144152956,"{'task_session_id': 1162, 'program': 'lsrrf'}"
17143,edit-program,8621,23.0,2017-12-13T14:57:14.193038Z,52898500,"{'task_session_id': 1164, 'program': 'rfff'}"
17144,edit-program,8618,23.0,2017-12-13T14:57:14.463893Z,868578858,"{'task_session_id': 1162, 'program': 'lsrrllff'}"
17145,start-task,8619,14.0,2017-12-13T14:57:15.933971Z,344895240,{'task_session_id': 1166}
