id,student,task,solved,start,end,time_spent
470,4020,19,True,2017-11-24T21:41:52.118293Z,2017-11-24T21:49:57.049518Z,484
479,4623,26,True,2017-11-25T08:13:20.416306Z,2017-11-25T08:13:44.536454Z,24
484,4683,6,False,2017-11-25T12:30:00.353445Z,2017-11-25T12:33:48.259097Z,227
476,4623,6,True,2017-11-25T08:11:22.425356Z,2017-11-25T08:12:31.394162Z,68
481,4655,31,True,2017-11-25T10:11:46.135062Z,2017-11-25T10:13:07.100694Z,80
474,4623,31,True,2017-11-25T08:09:20.717271Z,2017-11-25T08:09:53.442359Z,32
485,4833,25,False,2017-11-26T01:31:48.315794Z,2017-11-26T01:32:51.107354Z,62
477,4623,44,True,2017-11-25T08:12:33.876980Z,2017-11-25T08:12:56.966903Z,23
482,4683,26,True,2017-11-25T12:24:17.485669Z,2017-11-25T12:29:11.267529Z,293
486,4683,26,False,2017-11-26T09:26:17.901759Z,2017-11-26T09:26:49.475647Z,31
483,4683,51,True,2017-11-25T12:29:22.024431Z,2017-11-25T12:29:47.528991Z,25
491,4623,8,True,2017-11-26T10:04:04.882028Z,2017-11-26T10:04:28.878519Z,23
489,4623,49,True,2017-11-26T10:03:39.380212Z,2017-11-26T10:03:51.490992Z,12
493,4623,14,True,2017-11-26T10:05:01.494249Z,2017-11-26T10:05:17.544055Z,16
494,4623,19,True,2017-11-26T10:05:21.447897Z,2017-11-26T10:06:44.765977Z,83
492,4623,12,True,2017-11-26T10:04:34.815764Z,2017-11-26T10:04:54.386768Z,19
495,4623,11,True,2017-11-26T10:07:08.145126Z,2017-11-26T10:09:10.124358Z,121
487,4623,21,True,2017-11-26T10:00:47.138340Z,2017-11-26T10:11:23.992415Z,636
496,4623,13,True,2017-11-26T10:09:14.871824Z,2017-11-26T10:10:26.028411Z,71
497,4623,38,True,2017-11-26T10:11:27.301749Z,2017-11-26T10:14:22.446338Z,175
498,4623,1,True,2017-11-26T10:14:30.489362Z,2017-11-26T10:15:22.807261Z,52
501,4623,57,True,2017-11-26T10:20:19.116830Z,2017-11-26T10:22:17.432635Z,118
499,4623,46,True,2017-11-26T10:15:28.380278Z,2017-11-26T10:20:13.594176Z,285
500,4838,25,True,2017-11-26T10:19:18.468000Z,2017-11-26T10:20:28.775849Z,70
502,4623,18,True,2017-11-26T10:22:21.795933Z,2017-11-26T10:25:08.557808Z,166
503,4683,6,False,2017-11-26T10:36:45.822489Z,2017-11-26T10:39:44.843706Z,179
504,4839,2,True,2017-11-26T11:38:06.214814Z,2017-11-26T11:39:04.950472Z,58
505,4839,44,True,2017-11-26T11:39:10.869703Z,2017-11-26T11:39:33.317543Z,22
506,4839,14,True,2017-11-26T11:39:38.880058Z,2017-11-26T11:40:21.113670Z,42
508,4839,6,False,2017-11-26T11:40:53.646303Z,2017-11-26T11:40:53.646329Z,0
507,4839,10,True,2017-11-26T11:40:25.485700Z,2017-11-26T11:40:40.981475Z,15
541,4846,14,True,2017-11-26T16:11:56.947645Z,2017-11-26T16:12:13.357099Z,16
509,4844,25,True,2017-11-26T13:44:50.425311Z,2017-11-26T13:45:30.124136Z,39
568,4848,10,True,2017-11-26T17:29:52.474459Z,2017-11-26T17:30:12.438628Z,19
519,4844,17,True,2017-11-26T13:56:08.079798Z,2017-11-26T13:59:08.260099Z,180
510,4844,44,True,2017-11-26T13:45:36.388114Z,2017-11-26T13:46:11.532032Z,35
577,4848,58,False,2017-11-26T18:04:34.233478Z,2017-11-26T18:19:35.096751Z,900
546,4846,21,True,2017-11-26T16:18:22.634319Z,2017-11-26T16:20:54.588356Z,151
520,4844,53,True,2017-11-26T13:59:10.923894Z,2017-11-26T13:59:45.131479Z,34
556,4846,41,True,2017-11-26T16:37:34.935329Z,2017-11-26T16:38:25.019392Z,50
583,4853,14,True,2017-11-26T18:34:32.618027Z,2017-11-26T18:34:44.191741Z,11
511,4844,8,True,2017-11-26T13:46:17.788581Z,2017-11-26T13:47:09.007073Z,51
586,4853,11,True,2017-11-26T18:38:16.835514Z,2017-11-26T18:38:39.784929Z,22
525,4844,55,True,2017-11-26T14:17:54.683741Z,2017-11-26T14:20:51.971322Z,177
526,4844,50,False,2017-11-26T14:21:03.145387Z,2017-11-26T14:21:03.145416Z,0
527,4844,33,False,2017-11-26T14:22:29.347774Z,2017-11-26T14:22:29.347793Z,0
528,4844,43,False,2017-11-26T14:23:26.853662Z,2017-11-26T14:23:26.853680Z,0
529,4844,34,False,2017-11-26T14:36:49.594164Z,2017-11-26T14:36:49.594183Z,0
574,4848,41,True,2017-11-26T17:43:03.938872Z,2017-11-26T17:56:09.668075Z,785
551,4846,18,True,2017-11-26T16:26:45.414180Z,2017-11-26T16:30:40.662590Z,235
578,4853,25,True,2017-11-26T18:32:28.163171Z,2017-11-26T18:32:45.050003Z,16
530,4846,2,True,2017-11-26T15:58:09.404608Z,2017-11-26T15:59:10.917678Z,61
521,4844,38,False,2017-11-26T13:59:50.630377Z,2017-11-26T14:01:40.521752Z,109
512,4844,14,True,2017-11-26T13:47:12.231845Z,2017-11-26T13:48:36.056235Z,83
513,4844,49,True,2017-11-26T13:48:39.856328Z,2017-11-26T13:48:57.480790Z,17
557,4846,53,True,2017-11-26T16:38:35.261309Z,2017-11-26T16:39:23.613829Z,48
553,4846,47,False,2017-11-26T16:32:00.786763Z,2017-11-26T16:32:00.786790Z,0
531,4846,25,True,2017-11-26T15:59:18.395232Z,2017-11-26T15:59:33.368771Z,14
514,4844,2,True,2017-11-26T13:48:59.582917Z,2017-11-26T13:49:43.091876Z,43
563,4848,49,True,2017-11-26T17:15:02.426694Z,2017-11-26T17:17:50.794574Z,168
542,4846,19,True,2017-11-26T16:12:20.686557Z,2017-11-26T16:14:32.141311Z,131
532,4846,26,True,2017-11-26T15:59:41.984241Z,2017-11-26T15:59:55.898089Z,13
515,4844,12,True,2017-11-26T13:49:47.621000Z,2017-11-26T13:50:11.784284Z,24
579,4853,51,True,2017-11-26T18:32:48.769872Z,2017-11-26T18:32:53.856517Z,5
533,4846,31,True,2017-11-26T15:59:59.932681Z,2017-11-26T16:00:32.964873Z,33
