user,game,step,time,correct,code,trace
27,1,3,32,False,bL_Fr2_1|bR_F_2||||,"{(5, 9), (7, 12), (2, 8), (9, 8), (7, 7), (4, 12), (2, 12), (7, 11), (2, 5), (5, 8), (5, 5), (2, 9), (5, 12), (7, 6), (9, 11), (7, 10), (8, 6), (9, 7), (2, 6), (5, 11), (4, 5), (2, 10), (9, 10), (7, 5), (9, 6), (6, 5), (3, 5), (2, 7), (7, 9), (5, 10), (3, 12), (8, 12), (5, 7), (2, 11), (9, 9), (7, 8), (9, 12)}"
27,1,4,23,False,bL_FrRr2_1|bR_F_2||||,"{(5, 9), (7, 3), (2, 8), (4, 12), (2, 12), (9, 4), (2, 5), (5, 8), (5, 5), (2, 9), (5, 12), (7, 6), (8, 6), (2, 6), (5, 11), (4, 5), (9, 3), (2, 10), (7, 5), (9, 6), (6, 5), (3, 5), (2, 7), (8, 3), (5, 10), (3, 12), (5, 7), (2, 11), (9, 5)}"
27,1,5,2,True,bL_FrRr2_1|bR_F_2||||,"{(5, 9), (7, 3), (2, 8), (4, 12), (2, 12), (9, 4), (2, 5), (5, 8), (5, 5), (2, 9), (5, 12), (7, 6), (8, 6), (2, 6), (5, 11), (4, 5), (9, 3), (2, 10), (7, 5), (9, 6), (6, 5), (3, 5), (2, 7), (8, 3), (5, 10), (3, 12), (5, 7), (2, 11), (9, 5)}"
41,1,1,45,False,_FbLr2_1|_FbR_2||||,"{(5, 9), (7, 12), (2, 8), (9, 8), (7, 7), (4, 12), (2, 12), (7, 11), (2, 5), (5, 8), (5, 5), (2, 9), (5, 12), (7, 6), (9, 11), (7, 10), (8, 6), (9, 7), (2, 6), (5, 11), (4, 5), (2, 10), (9, 10), (7, 5), (9, 6), (6, 5), (3, 5), (2, 7), (7, 9), (5, 10), (3, 12), (8, 12), (5, 7), (2, 11), (9, 9), (7, 8), (9, 12)}"
41,1,2,138,False,_FbLrRr2_1|_FbR_2||||,"{(5, 9), (7, 3), (2, 8), (4, 12), (2, 12), (9, 4), (2, 5), (5, 8), (5, 5), (2, 9), (5, 12), (7, 6), (8, 6), (2, 6), (5, 11), (4, 5), (9, 3), (2, 10), (7, 5), (9, 6), (6, 5), (3, 5), (2, 7), (8, 3), (5, 10), (3, 12), (5, 7), (2, 11), (9, 5)}"
41,1,3,2,True,_FbLrRr2_1|_FbR_2||||,"{(5, 9), (7, 3), (2, 8), (4, 12), (2, 12), (9, 4), (2, 5), (5, 8), (5, 5), (2, 9), (5, 12), (7, 6), (8, 6), (2, 6), (5, 11), (4, 5), (9, 3), (2, 10), (7, 5), (9, 6), (6, 5), (3, 5), (2, 7), (8, 3), (5, 10), (3, 12), (5, 7), (2, 11), (9, 5)}"
44,1,1,48,False,_FbLr2_1|||||,"{(5, 9), (7, 12), (2, 8), (7, 7), (4, 12), (2, 12), (7, 11), (2, 5), (5, 8), (5, 5), (2, 9), (5, 12), (7, 6), (7, 10), (2, 6), (5, 11), (4, 5), (2, 10), (7, 5), (6, 5), (3, 5), (2, 7), (7, 9), (5, 10), (3, 12), (5, 7), (2, 11), (7, 8)}"
44,1,2,27,False,_FbLrR_2|_FbR_2||||,"{(5, 9), (5, 10), (5, 11), (5, 12), (5, 7), (5, 8)}"
44,1,3,17,False,_FbLrRr2_1|_FbR_2||||,"{(5, 9), (7, 3), (2, 8), (4, 12), (2, 12), (9, 4), (2, 5), (5, 8), (5, 5), (2, 9), (5, 12), (7, 6), (8, 6), (2, 6), (5, 11), (4, 5), (9, 3), (2, 10), (7, 5), (9, 6), (6, 5), (3, 5), (2, 7), (8, 3), (5, 10), (3, 12), (5, 7), (2, 11), (9, 5)}"
44,1,4,0,True,_FbLrRr2_1|_FbR_2||||,"{(5, 9), (7, 3), (2, 8), (4, 12), (2, 12), (9, 4), (2, 5), (5, 8), (5, 5), (2, 9), (5, 12), (7, 6), (8, 6), (2, 6), (5, 11), (4, 5), (9, 3), (2, 10), (7, 5), (9, 6), (6, 5), (3, 5), (2, 7), (8, 3), (5, 10), (3, 12), (5, 7), (2, 11), (9, 5)}"
