"task_instance_id","student_id","task_id","time_start","time_end","time_spent","solved","given_up","attempts","solution_size","reported_flow","instructions_ids","session_id","session_order"
238,69,20,"2016-09-06 15:36:46.946624","2016-09-06 15:37:28.615524",42,True,False,1,8,"RIGHT","[]",101,101
231,67,2,"2016-09-06 07:13:38.495371","2016-09-06 07:15:45.108617",127,True,False,1,7,"EASY","[2]",99,99
232,67,11,"2016-09-06 07:15:52.984021","",0,False,False,0,"","UNKNOWN","[16, 3]",99,99
242,70,1,"2016-09-06 16:04:48.080697","2016-09-06 16:05:17.741380",29,True,False,1,4,"EASY","[11, 13, 12, 1, 14, 15]",103,103
253,72,1,"2016-09-09 04:26:05.920151","2016-09-09 04:27:12.742273",67,True,False,1,4,"EASY","[11, 13, 12, 1, 14, 15]",107,107
243,70,3,"2016-09-06 16:57:51.227357","2016-09-06 16:58:21.990823",30,True,False,1,6,"EASY","[2]",103,103
239,69,54,"2016-09-06 15:37:37.841089","2016-09-06 15:44:23.119738",405,False,True,4,14,"VERY_DIFFICULT","[19, 4, 5]",101,101
247,70,16,"2016-09-06 17:02:20.713785","2016-09-06 17:04:10.255468",108,True,False,1,7,"EASY","[]",103,103
244,70,23,"2016-09-06 16:58:27.896769","2016-09-06 16:59:44.747850",76,True,False,2,6,"EASY","[16, 3]",103,103
254,72,2,"2016-09-09 04:27:17.464337","2016-09-09 04:27:36.934357",20,True,False,1,7,"EASY","[2]",107,107
248,70,53,"2016-09-06 17:04:15.150148","2016-09-06 17:05:40.652439",85,True,False,1,9,"EASY","[]",103,103
249,70,12,"2016-09-06 17:06:09.850119","2016-09-06 17:07:20.717864",68,True,False,1,8,"EASY","[]",104,104
257,72,18,"2016-09-09 04:30:46.349960","2016-09-09 04:31:18.651329",33,True,False,1,4,"RIGHT","[]",107,107
255,72,12,"2016-09-09 04:27:41.831851","2016-09-09 04:28:31.804580",50,True,False,1,8,"EASY","[16, 3]",107,107
259,72,53,"2016-09-09 04:39:36.184978","2016-09-09 04:40:35.935854",60,True,False,1,9,"RIGHT","[4, 5]",107,107
262,72,54,"2016-09-09 04:43:53.695585","2016-09-09 04:46:11.063916",138,False,False,1,15,"UNKNOWN","[]",108,108
258,72,42,"2016-09-09 04:31:22.104400","2016-09-09 04:39:35.882954",494,False,True,1,7,"VERY_DIFFICULT","[18, 19, 4, 5]",107,107
260,72,42,"2016-09-09 04:40:45.516762","2016-09-09 04:42:31.130952",106,True,False,1,7,"RIGHT","[18, 19]","",""
261,72,25,"2016-09-09 04:42:39.373533","2016-09-09 04:43:51.474028",72,True,False,2,7,"RIGHT","[]",108,108
264,69,20,"2016-09-10 10:09:52.215293","",0,False,False,0,"","UNKNOWN","[]",110,110
263,63,3,"2016-09-09 12:56:30.425868","2016-09-09 12:56:49.316377",19,False,False,5,2,"UNKNOWN","[2]",109,109
265,69,23,"2016-09-12 09:07:11.059621","",0,False,False,0,"","UNKNOWN","[]",111,111
266,73,56,"2016-09-16 01:23:24.367592","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",112,112
267,74,56,"2016-09-17 02:24:29.390831","2016-09-17 02:24:44.522502",15,True,False,1,3,"EASY","[11, 13, 12, 1, 14, 15]",113,113
268,74,3,"2016-09-17 02:24:49.037939","2016-09-17 02:25:05.687289",17,True,False,1,6,"EASY","[2]",113,113
269,74,16,"2016-09-17 02:25:08.290611","2016-09-17 02:26:12.977402",36,True,False,1,7,"EASY","[16, 3]",113,113
317,76,39,"2016-10-11 08:57:50.207318","2016-10-11 09:05:23.109733",453,True,False,4,7,"DIFFICULT","[6]",135,135
299,85,53,"2016-10-03 09:17:25.488525","2016-10-03 09:18:18.073520",53,True,False,1,9,"RIGHT","[4, 5]",128,128
270,74,25,"2016-09-17 02:26:15.126203","2016-09-17 02:26:40.515368",25,True,False,1,7,"EASY","[]",113,113
328,92,26,"2016-10-24 15:26:22.044357","2016-10-24 15:42:31.165364",736,True,False,6,11,"RIGHT","[16, 3]",143,143
271,74,53,"2016-09-17 02:26:43.603563","2016-09-17 02:27:43.616658",60,True,False,2,9,"EASY","[4, 5]",113,113
300,85,26,"2016-10-03 09:18:19.762068","2016-10-03 09:19:13.629271",54,True,False,1,11,"RIGHT","[]",128,128
301,85,39,"2016-10-03 09:19:15.683182","",0,False,False,0,"","UNKNOWN","[19, 6]",128,128
302,76,3,"2016-10-03 15:05:08.670151","",0,False,False,0,"","UNKNOWN","[2]",129,129
303,86,56,"2016-10-04 02:59:50.007390","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",130,130
272,74,20,"2016-09-17 02:27:45.713503","2016-09-17 02:29:04.191257",78,True,False,4,8,"EASY","[]",113,113
304,76,1,"2016-10-04 06:54:51.703006","2016-10-04 11:32:14.015523",8,True,False,1,4,"EASY","[]",131,131
273,74,15,"2016-09-17 02:29:05.848764","2016-09-17 02:29:41.470806",36,True,False,1,7,"EASY","[6]",113,113
274,74,12,"2016-09-17 02:29:59.396823","",0,False,False,0,"","UNKNOWN","[]",114,114
275,74,20,"2016-09-17 02:30:23.616316","",0,False,False,0,"","UNKNOWN","[]","",""
276,74,53,"2016-09-17 02:30:32.980298","",0,False,False,0,"","UNKNOWN","[]","",""
